customer_id,class,gender,start_date,end_date,is_deleted,price,mean,max,min,routine_flg,membership_period
OA832399,C01,F,2019-05-01,,0,10500,4.83333333333333,8,2,1,47
PL270116,C01,M,2019-05-01,,0,10500,5.08333333333333,7,3,1,47
OA974876,C01,M,2019-05-01,,0,10500,4.58333333333333,6,3,1,47
HD024127,C01,F,2019-05-01,,0,10500,4.83333333333333,7,2,1,47
HD661448,C03,F,2019-05-01,,0,6000,3.91666666666667,6,1,1,47
IK271057,C01,M,2019-05-01,,0,10500,3.75,5,2,1,47
HI324666,C01,M,2019-05-01,,0,10500,3.91666666666667,7,2,1,47
AS647421,C01,F,2019-05-01,,0,10500,4.5,9,2,1,47
AS069821,C03,F,2019-05-01,,0,6000,4.08333333333333,7,2,1,47
GD039425,C01,F,2019-05-01,,0,10500,4.66666666666667,7,3,1,47
OA789036,C02,F,2019-05-01,,0,7500,4.75,7,1,1,47
AS058623,C01,F,2019-05-01,,0,10500,4.5,6,3,1,47
AS857207,C02,F,2019-05-01,,0,7500,4.5,8,2,1,47
AS625883,C02,F,2019-05-01,,0,7500,4.75,6,2,1,47
HD782984,C02,F,2019-05-01,,0,7500,4.83333333333333,7,2,1,47
HI804186,C02,F,2019-05-01,,0,7500,4.83333333333333,7,2,1,47
AS732240,C02,F,2019-05-01,,0,7500,4.66666666666667,7,2,1,47
PL834411,C03,F,2019-05-01,,0,6000,4.91666666666667,8,1,1,47
HD516059,C03,M,2019-05-01,,0,6000,4.16666666666667,7,1,1,47
HD194702,C02,F,2019-05-01,,0,7500,4.91666666666667,8,1,1,47
IK102369,C01,M,2019-05-01,,0,10500,4.75,6,3,1,47
AS183155,C03,F,2019-05-01,,0,6000,4.5,7,2,1,47
HI339146,C01,F,2019-05-01,,0,10500,4.5,7,2,1,47
AS476267,C02,F,2019-05-01,,0,7500,4.91666666666667,7,3,1,47
PL928545,C02,F,2019-05-01,,0,7500,4.33333333333333,7,2,1,47
OA372777,C03,M,2019-05-01,,0,6000,3.66666666666667,6,1,1,47
PL765022,C01,M,2019-05-01,,0,10500,4.58333333333333,7,3,1,47
OA803393,C01,M,2019-05-01,,0,10500,4.75,8,2,1,47
OA071756,C01,M,2019-05-01,,0,10500,4.16666666666667,6,2,1,47
HI598974,C03,M,2019-05-01,,0,6000,5.08333333333333,7,3,1,47
GD214739,C01,M,2019-05-01,,0,10500,5.41666666666667,8,3,1,47
OA557824,C02,F,2019-05-01,,0,7500,4.25,8,1,1,47
IK098074,C01,F,2019-05-01,,0,10500,4.08333333333333,7,1,1,47
HD792156,C01,F,2019-05-01,,0,10500,4.66666666666667,7,2,1,47
OA478509,C02,M,2019-05-01,,0,7500,4.66666666666667,7,2,1,47
HI388582,C02,F,2019-05-01,,0,7500,4.83333333333333,6,3,1,47
TS210661,C01,M,2019-05-01,,0,10500,4.83333333333333,8,3,1,47
TS837282,C01,F,2019-05-01,,0,10500,5.58333333333333,8,3,1,47
OA758157,C01,M,2019-05-01,,0,10500,4,6,2,1,47
OA790739,C01,M,2019-05-01,,0,10500,4.83333333333333,7,3,1,47
AS734592,C02,F,2019-05-01,,0,7500,5.33333333333333,8,2,1,47
GD022268,C02,M,2019-05-01,,0,7500,4.16666666666667,7,1,1,47
IK059803,C02,F,2019-05-01,,0,7500,4.25,6,3,1,47
TS487207,C01,M,2019-05-01,,0,10500,4,6,2,1,47
OA994859,C01,F,2019-05-01,,0,10500,5.5,9,3,1,47
PL221419,C02,M,2019-05-01,,0,7500,5.5,9,3,1,47
HI570349,C01,F,2019-05-01,,0,10500,4.91666666666667,7,2,1,47
TS945284,C03,M,2019-05-01,,0,6000,4.58333333333333,7,3,1,47
PL152568,C03,F,2019-05-01,,0,6000,4.66666666666667,8,2,1,47
GD967749,C01,F,2019-05-01,,0,10500,4.66666666666667,8,3,1,47
HI635742,C02,F,2019-05-01,,0,7500,4.41666666666667,6,2,1,47
AS970810,C03,F,2019-05-01,,0,6000,4.33333333333333,6,2,1,47
GD163149,C03,M,2019-05-01,,0,6000,4.91666666666667,8,2,1,47
HD124700,C01,M,2019-05-01,,0,10500,4.5,8,2,1,47
HD349501,C01,F,2019-05-01,,0,10500,4.83333333333333,8,1,1,47
GD126553,C01,M,2019-05-01,,0,10500,5.33333333333333,8,3,1,47
AS926104,C03,F,2019-05-01,,0,6000,4.41666666666667,6,3,1,47
GD360440,C03,M,2019-05-01,,0,6000,4.5,6,1,1,47
IK701555,C02,F,2019-05-01,,0,7500,4.75,6,1,1,47
AS777651,C01,M,2019-05-01,,0,10500,4.16666666666667,7,2,1,47
PL241896,C03,F,2019-05-01,,0,6000,4.33333333333333,7,2,1,47
PL920046,C02,F,2019-05-01,,0,7500,4.33333333333333,8,2,1,47
PL367795,C01,F,2019-06-01,,0,10500,3.41666666666667,7,1,1,46
HI324110,C01,M,2019-06-01,,0,10500,3.41666666666667,7,1,1,46
OA630902,C03,M,2019-06-01,,0,6000,4.66666666666667,8,3,1,46
GD292781,C02,F,2019-06-01,,0,7500,4.66666666666667,7,2,1,46
PL912172,C03,M,2019-06-01,,0,6000,4.5,7,2,1,46
HI582217,C01,M,2019-06-01,,0,10500,4.66666666666667,7,3,1,46
TS038130,C03,M,2019-06-01,,0,6000,4.75,7,2,1,46
TS200932,C01,F,2019-06-01,,0,10500,4.91666666666667,7,2,1,46
GD728611,C02,F,2019-06-01,,0,7500,3.83333333333333,6,1,1,46
HI525851,C03,M,2019-06-01,,0,6000,4.83333333333333,8,2,1,46
PL540895,C03,M,2019-06-01,,0,6000,4.66666666666667,7,2,1,46
PL410964,C01,M,2019-06-01,,0,10500,4.25,7,1,1,46
HI728364,C01,M,2019-06-01,,0,10500,4.25,7,2,1,46
HI373547,C01,F,2019-06-01,,0,10500,4,8,2,1,46
GD489678,C01,M,2019-06-01,,0,10500,4.75,9,2,1,46
OA504016,C03,M,2019-06-01,,0,6000,3.83333333333333,6,2,1,46
IK124414,C03,M,2019-06-01,,0,6000,5.08333333333333,8,4,1,46
IK351897,C02,M,2019-06-01,,0,7500,4.33333333333333,8,2,1,46
TS273269,C03,M,2019-06-01,,0,6000,3.16666666666667,5,1,1,46
IK055692,C01,M,2019-06-01,,0,10500,5.66666666666667,7,5,1,46
TS035920,C01,M,2019-06-01,,0,10500,4.75,7,2,1,46
GD555235,C03,F,2019-06-01,,0,6000,4.33333333333333,7,1,1,46
AS099984,C01,F,2019-06-01,,0,10500,4.5,7,2,1,46
TS471939,C01,M,2019-06-01,,0,10500,4.91666666666667,7,3,1,46
